crime_id,crime_type,crime_subtype,crime_date,crime_time,crime_day,crime_month,crime_year,crime_location,area_name,city,state,pincode,latitude,longitude,crime_description,weapon_used,entry_method,crime_method,target_type,victim_count,victim_gender,victim_age,injury_level,property_loss_amount,suspect_count,cctv_available,evidence_found,police_station,officer_assigned,case_status,fir_number,arrest_made,criminal_id,investigation_notes,created_at
CR-2022-00014,Theft,Vehicle Theft,2022-12-21,22:47:55,Wednesday,December,2022,"17, Krishna Society, Hadapsar, Pune - 411028",Hadapsar,Pune,Maharashtra,411028,18.512113,73.922878,Police received a complaint regarding Vehicle Theft at Hotel in Hadapsar at 22:47:55. Investigation initiated and local CCTV footage is being examined.,Cricket Bat,Wall breach,Suspect gained entry via Wall breach and stole valuables. Operated swiftly.,Hotel,1,Female,47,None,2776151.32,1,1,Tool marks found,Hadapsar PS,Wasim Deshmukh,Closed,FIR/2022/HAD/00014,0,CRM-IND-04878,Case closed — insufficient evidence. CCTV footage secured. All leads exhausted.,2026-08-08 22:55:42
CR-2023-00015,Murder,Honor Killing,2023-01-07,09:00:38,Saturday,January,2023,"430, Tilak Galli, Balewadi, Pune - 411045",Balewadi,Pune,Maharashtra,411045,18.57308,73.778866,Police received a complaint regarding Honor Killing at Office in Balewadi at 09:00:38. Investigation initiated and local CCTV footage is being examined.,None,Lock picking,Victim attacked with None. Fatal injuries sustained. Scene secured for forensics.,Office,4,Male,75,None,0.0,5,0,Vehicle registration traced,Chaturshrungi PS,Diya Wagh,Under Investigation,FIR/2023/CHA/00015,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2022-00016,Drug Offense,Drug Trafficking,2022-12-27,15:13:18,Tuesday,December,2022,"333, Ambedkar Complex, Model Colony, Pune - 411016",Model Colony,Pune,Maharashtra,411016,18.521818,73.835647,Police received a complaint regarding Drug Trafficking at Highway in Model Colony at 15:13:18. Investigation initiated and local CCTV footage is being examined.,Iron Rod,Front door,Offense committed using Iron Rod. Entry via Front door. Under investigation.,Highway,3,Male,47,Fatal,0.0,2,0,DNA evidence,Shivajinagar PS,Myra Qureshi,Solved,FIR/2022/SHI/00016,1,CRM-IND-05018,Case solved. No CCTV coverage at location. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2022-00017,Kidnapping,Elopement,2022-02-22,16:02:54,Tuesday,February,2022,"197, Sai Residency, Pisoli, Pune - 411060",Pisoli,Pune,Maharashtra,411060,18.436272,73.913449,A Kidnapping case involving Elopement was registered at Pisoli. The victim reported the incident. Forensic team dispatched to the site.,Chain,Wall breach,Offense committed using Chain. Entry via Wall breach. Under investigation.,ATM,3,Male,34,Moderate,0.0,2,1,Fingerprint found,Kondhwa PS,Vijay Deshmukh,Unsolved,FIR/2022/KON/00017,0,,Case unsolved. CCTV footage secured. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2024-00018,Cybercrime,Hacking,2024-05-14,19:20:25,Tuesday,May,2024,"199, Ganesh Lane, Budhwar Peth, Pune - 411002",Budhwar Peth,Pune,Maharashtra,411002,18.513412,73.858636,A case of Hacking was reported at Budhwar Peth at approximately 19:20:25. The suspect targeted a Office. Local residents alerted police after noticing suspicious activity.,Hammer,Key duplication,Digital means used to commit fraud. Traced through IP analysis and transaction records.,Office,3,Male,37,None,1409576.64,1,0,CCTV footage available,Khadak PS,Sanjay Singh,Unsolved,FIR/2024/KHA/00018,0,,Case unsolved. No CCTV coverage at location. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2022-00019,Cybercrime,Ransomware,2022-04-08,23:17:06,Friday,April,2022,"236, Ambedkar Galli, Tilak Road, Pune - 411030",Tilak Road,Pune,Maharashtra,411030,18.505122,73.847922,A Cybercrime case involving Ransomware was registered at Tilak Road. The victim reported the incident. Forensic team dispatched to the site.,Hammer,Not applicable,Digital means used to commit fraud. Traced through IP analysis and transaction records.,Bank,3,Male,55,None,3742219.79,5,0,CCTV footage available,Vishrambaug PS,Bhavana Wagh,Solved,FIR/2022/VIS/00019,1,CRM-IND-00721,Case solved. No CCTV coverage at location. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2022-00020,Robbery,Armed Robbery,2022-08-08,13:20:01,Monday,August,2022,"384, Gandhi Colony, Bund Garden, Pune - 411001",Bund Garden,Pune,Maharashtra,411001,18.535242,73.881157,An incident of Robbery (Armed Robbery) occurred near Bund Garden. The accused entered the House and committed the offense before fleeing the scene.,Machete,Back door,"Armed with Machete, suspect threatened victims and demanded valuables via Back door.",House,2,Female,59,Moderate,4085461.9,1,0,Digital evidence,Bundgarden PS,Tushar Deshmukh,Unsolved,FIR/2022/BUN/00020,0,,Case unsolved. No CCTV coverage at location. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2025-00021,Robbery,Armed Robbery,2025-07-02,21:38:33,Wednesday,July,2025,"269, Ambedkar Complex, Ganeshkhind, Pune - 411007",Ganeshkhind,Pune,Maharashtra,411007,18.534223,73.833508,Police received a complaint regarding Armed Robbery at House in Ganeshkhind at 21:38:33. Investigation initiated and local CCTV footage is being examined.,Iron Rod,Window break,"Armed with Iron Rod, suspect threatened victims and demanded valuables via Window break.",House,3,Male,77,None,3099772.8,4,1,Mobile phone records,Shivajinagar PS,Rajesh Pawar,Solved,FIR/2025/SHI/00021,0,,Case solved. CCTV footage secured. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2025-00022,Kidnapping,Child Abduction,2025-07-26,19:41:21,Saturday,July,2025,"291, Phule Apartments, JM Road, Pune - 411004",JM Road,Pune,Maharashtra,411004,18.520826,73.844219,An incident of Kidnapping (Child Abduction) occurred near JM Road. The accused entered the House and committed the offense before fleeing the scene.,Sword,Roof entry,Offense committed using Sword. Entry via Roof entry. Under investigation.,House,5,Male,72,None,0.0,5,0,Eyewitness statement,Deccan PS,Imran Khan,Solved,FIR/2025/DEC/00022,1,CRM-IND-03664,Case solved. No CCTV coverage at location. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2024-00023,Drug Offense,Drug Manufacturing,2024-11-05,19:02:36,Tuesday,November,2024,"464, Krishna Main Road, Pimpri, Pune - 411018",Pimpri,Pune,Maharashtra,411018,18.624716,73.798763,Police received a complaint regarding Drug Manufacturing at Shop in Pimpri at 19:02:36. Investigation initiated and local CCTV footage is being examined.,None,Not applicable,Offense committed using None. Entry via Not applicable. Under investigation.,Shop,5,Female,21,None,0.0,1,1,Mobile phone records,Pimpri PS,Reyansh Thorat,Closed,FIR/2024/PIM/00023,0,CRM-IND-05239,Case closed — insufficient evidence. CCTV footage secured. All leads exhausted.,2026-08-08 22:55:42
CR-2024-00024,Theft,Bicycle Theft,2024-06-16,14:22:01,Sunday,June,2024,"477, Shivaji Complex, Nigdi, Pune - 411044",Nigdi,Pune,Maharashtra,411044,18.654942,73.769538,An incident of Theft (Bicycle Theft) occurred near Nigdi. The accused entered the Highway and committed the offense before fleeing the scene.,Pistol,Front door,Suspect gained entry via Front door and stole valuables. Operated swiftly.,Highway,2,Female,59,Moderate,1244260.92,4,1,CCTV footage available,Nigdi PS,Sunita Jadhav,Under Investigation,FIR/2024/NIG/00024,0,,Investigation ongoing. CCTV footage secured. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2025-00025,Robbery,Home Invasion,2025-11-18,11:51:59,Tuesday,November,2025,"238, Ganesh Complex, Gokhale Nagar, Pune - 411016",Gokhale Nagar,Pune,Maharashtra,411016,18.525373,73.837296,Police received a complaint regarding Home Invasion at Bank in Gokhale Nagar at 11:51:59. Investigation initiated and local CCTV footage is being examined.,None,Not applicable,"Armed with None, suspect threatened victims and demanded valuables via Not applicable.",Bank,1,Male,60,Severe,495081.86,3,1,Digital evidence,Shivajinagar PS,Myra Qureshi,Solved,FIR/2025/SHI/00025,1,CRM-IND-02533,Case solved. CCTV footage secured. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2024-00026,Fraud,Forgery,2024-02-08,21:50:27,Thursday,February,2024,"192, Patel Nagar, Kothrud, Pune - 411038",Kothrud,Pune,Maharashtra,411038,18.510749,73.807453,A case of Forgery was reported at Kothrud at approximately 21:50:27. The suspect targeted a Hotel. Local residents alerted police after noticing suspicious activity.,Pistol,Back door,Fraudulent documents used. Financial transactions routed through multiple accounts.,Hotel,4,Female,51,Moderate,4827310.47,3,1,Fingerprint found,Kothrud PS,Mukesh Dubey,Unsolved,FIR/2024/KOT/00026,0,,Case unsolved. CCTV footage secured. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2023-00027,Robbery,ATM Robbery,2023-10-26,15:44:25,Thursday,October,2023,"447, Tilak Lane, Dhanori, Pune - 411015",Dhanori,Pune,Maharashtra,411015,18.582423,73.902023,An incident of Robbery (ATM Robbery) occurred near Dhanori. The accused entered the Shop and committed the offense before fleeing the scene.,Knife,Window break,"Armed with Knife, suspect threatened victims and demanded valuables via Window break.",Shop,4,Male,76,None,4171308.95,2,0,None,Viman Nagar PS,Varsha Das,Unsolved,FIR/2023/VIM/00027,0,,Case unsolved. No CCTV coverage at location. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2023-00028,Theft,Chain Snatching,2023-12-28,04:01:55,Thursday,December,2023,"93, Krishna Nagar, Pune Station, Pune - 411001",Pune Station,Pune,Maharashtra,411001,18.523927,73.874812,Police received a complaint regarding Chain Snatching at Park in Pune Station at 04:01:55. Investigation initiated and local CCTV footage is being examined.,Iron Rod,Fire escape,Suspect gained entry via Fire escape and stole valuables. Operated swiftly.,Park,3,Female,20,Minor,3561335.26,5,0,Footprint analysis,Bundgarden PS,Karan Patil,Under Investigation,FIR/2023/BUN/00028,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2025-00029,Kidnapping,Elopement,2025-02-19,14:00:53,Wednesday,February,2025,"298, Sai Nagar, Chinchwad, Pune - 411019",Chinchwad,Pune,Maharashtra,411019,18.630122,73.795282,Police received a complaint regarding Elopement at ATM in Chinchwad at 14:00:53. Investigation initiated and local CCTV footage is being examined.,Iron Rod,Back door,Offense committed using Iron Rod. Entry via Back door. Under investigation.,ATM,5,Male,40,None,0.0,5,1,Vehicle registration traced,Chinchwad PS,Avni Mulani,Under Investigation,FIR/2025/CHI/00029,0,,Investigation ongoing. CCTV footage secured. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2024-00030,Murder,Domestic Dispute,2024-03-25,21:27:35,Monday,March,2024,"459, Tilak Nagar, Chandan Nagar, Pune - 411014",Chandan Nagar,Pune,Maharashtra,411014,18.553659,73.929981,Suspect(s) committed Domestic Dispute at a Highway in Chandan Nagar during 21:27:35. Officers responded within minutes of the alert.,None,Fire escape,Victim attacked with None. Fatal injuries sustained. Scene secured for forensics.,Highway,5,Female,39,Moderate,0.0,3,1,Weapon recovered,Chandannagar PS,Chetan Jadhav,Closed,FIR/2024/CHA/00030,0,,Case closed — insufficient evidence. CCTV footage secured. All leads exhausted.,2026-08-08 22:55:42
CR-2023-00031,Murder,Crime of Passion,2023-11-05,09:35:54,Sunday,November,2023,"230, Patel Society, Bopodi, Pune - 411020",Bopodi,Pune,Maharashtra,411020,18.562862,73.825873,A Murder case involving Crime of Passion was registered at Bopodi. The victim reported the incident. Forensic team dispatched to the site.,Machete,Front door,Victim attacked with Machete. Fatal injuries sustained. Scene secured for forensics.,Jewelry Store,1,Male,54,Severe,0.0,2,0,Blood sample collected,Vishrantwadi PS,Mukesh Kulkarni,Under Investigation,FIR/2023/VIS/00031,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2022-00032,Fraud,Property Fraud,2022-11-06,02:09:44,Sunday,November,2022,"291, Sai Apartments, Dhanori, Pune - 411015",Dhanori,Pune,Maharashtra,411015,18.573251,73.900157,Police received a complaint regarding Property Fraud at Highway in Dhanori at 02:09:44. Investigation initiated and local CCTV footage is being examined.,None,Key duplication,Fraudulent documents used. Financial transactions routed through multiple accounts.,Highway,2,Male,35,Moderate,4068901.48,2,1,Vehicle registration traced,Viman Nagar PS,Nilesh Roy,Under Investigation,FIR/2022/VIM/00032,0,,Investigation ongoing. CCTV footage secured. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2022-00033,Robbery,Bank Robbery,2022-01-29,21:54:37,Saturday,January,2022,"181, Shivaji Society, Dhayari, Pune - 411041",Dhayari,Pune,Maharashtra,411041,18.462904,73.805519,Suspect(s) committed Bank Robbery at a Person in Dhayari during 21:54:37. Officers responded within minutes of the alert.,None,Door break,"Armed with None, suspect threatened victims and demanded valuables via Door break.",Person,2,Female,36,Minor,4886160.24,1,1,DNA evidence,Sinhagad Road PS,Prashant Ghodke,Closed,FIR/2022/SIN/00033,0,,Case closed — insufficient evidence. CCTV footage secured. All leads exhausted.,2026-08-08 22:55:42
CR-2025-00034,Extortion,Protection Racket,2025-11-13,07:33:59,Thursday,November,2025,"319, Laxmi Main Road, Chandan Nagar, Pune - 411014",Chandan Nagar,Pune,Maharashtra,411014,18.561379,73.934834,An incident of Extortion (Protection Racket) occurred near Chandan Nagar. The accused entered the Jewelry Store and committed the offense before fleeing the scene.,Iron Rod,Lock picking,Offense committed using Iron Rod. Entry via Lock picking. Under investigation.,Jewelry Store,2,Female,26,Minor,0.0,1,0,Tool marks found,Chandannagar PS,Chetan Jadhav,Unsolved,FIR/2025/CHA/00034,0,,Case unsolved. No CCTV coverage at location. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2022-00035,Fraud,Insurance Fraud,2022-01-16,10:26:52,Sunday,January,2022,"382, Patel Chowk, Loni Kalbhor, Pune - 412201",Loni Kalbhor,Pune,Maharashtra,412201,18.459628,73.955689,Suspect(s) committed Insurance Fraud at a Highway in Loni Kalbhor during 10:26:52. Officers responded within minutes of the alert.,None,Window break,Fraudulent documents used. Financial transactions routed through multiple accounts.,Highway,5,Male,14,None,2980949.76,3,1,Weapon recovered,Hadapsar PS,Aparna Pathan,Unsolved,FIR/2022/HAD/00035,0,,Case unsolved. CCTV footage secured. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2025-00036,Kidnapping,Child Abduction,2025-10-14,23:00:12,Tuesday,October,2025,"424, Sai Lane, Nanded, Pune - 411041",Nanded,Pune,Maharashtra,411041,18.453453,73.839186,A Kidnapping case involving Child Abduction was registered at Nanded. The victim reported the incident. Forensic team dispatched to the site.,None,Wall breach,Offense committed using None. Entry via Wall breach. Under investigation.,Warehouse,1,Male,27,Severe,0.0,5,0,CCTV footage available,Sinhagad Road PS,Naresh Kale,Under Investigation,FIR/2025/SIN/00036,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2025-00037,Drug Offense,Drug Trafficking,2025-11-11,10:23:59,Tuesday,November,2025,"337, Patel Lane, Sadashiv Peth, Pune - 411030",Sadashiv Peth,Pune,Maharashtra,411030,18.51186,73.848486,Suspect(s) committed Drug Trafficking at a Bank in Sadashiv Peth during 10:23:59. Officers responded within minutes of the alert.,None,Roof entry,Offense committed using None. Entry via Roof entry. Under investigation.,Bank,1,Male,52,None,0.0,4,0,None,Vishrambaug PS,Kiran Nikam,Solved,FIR/2025/VIS/00037,0,,Case solved. No CCTV coverage at location. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2022-00038,Cybercrime,Phishing,2022-03-12,09:53:42,Saturday,March,2022,"445, Patel Apartments, Narayan Peth, Pune - 411030",Narayan Peth,Pune,Maharashtra,411030,18.513137,73.854127,Suspect(s) committed Phishing at a Restaurant in Narayan Peth during 09:53:42. Officers responded within minutes of the alert.,Iron Rod,Back door,Digital means used to commit fraud. Traced through IP analysis and transaction records.,Restaurant,4,Female,31,Minor,4582043.41,5,1,Blood sample collected,Vishrambaug PS,Harsh Das,Solved,FIR/2022/VIS/00038,0,,Case solved. CCTV footage secured. Accused arrested. Evidence submitted to court.,2026-08-08 22:55:42
CR-2023-00039,Extortion,Threatening,2023-09-26,17:47:36,Tuesday,September,2023,"186, Sai Main Road, Shivajinagar, Pune - 411005",Shivajinagar,Pune,Maharashtra,411005,18.531431,73.849922,A case of Threatening was reported at Shivajinagar at approximately 17:47:36. The suspect targeted a Highway. Local residents alerted police after noticing suspicious activity.,Pistol,Roof entry,Offense committed using Pistol. Entry via Roof entry. Under investigation.,Highway,3,Male,46,None,0.0,2,0,Fingerprint found,Shivajinagar PS,Anjali Nikam,Under Investigation,FIR/2023/SHI/00039,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2022-00040,Extortion,Protection Racket,2022-10-26,22:43:04,Wednesday,October,2022,"330, Ganesh Nagar, Baner, Pune - 411045",Baner,Pune,Maharashtra,411045,18.554901,73.782882,A case of Protection Racket was reported at Baner at approximately 22:43:04. The suspect targeted a Restaurant. Local residents alerted police after noticing suspicious activity.,Knife,Not applicable,Offense committed using Knife. Entry via Not applicable. Under investigation.,Restaurant,1,Male,38,None,0.0,1,0,Eyewitness statement,Chaturshrungi PS,Rahul Pawar,Unsolved,FIR/2022/CHA/00040,0,,Case unsolved. No CCTV coverage at location. Special team assigned for re-investigation.,2026-08-08 22:55:42
CR-2023-00041,Extortion,Blackmail,2023-08-21,02:47:46,Monday,August,2023,"419, Ganesh Lane, Tathawade, Pune - 411033",Tathawade,Pune,Maharashtra,411033,18.602728,73.752557,An incident of Extortion (Blackmail) occurred near Tathawade. The accused entered the Hotel and committed the offense before fleeing the scene.,Hammer,Key duplication,Offense committed using Hammer. Entry via Key duplication. Under investigation.,Hotel,3,Male,69,Severe,0.0,4,1,DNA evidence,Hinjewadi PS,Kishore Patil,Under Investigation,FIR/2023/HIN/00041,0,,Investigation ongoing. CCTV footage secured. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2025-00042,Sexual Offense,Molestation,2025-01-05,10:35:50,Sunday,January,2025,"408, Krishna Complex, Ambegaon, Pune - 411046",Ambegaon,Pune,Maharashtra,411046,18.444205,73.851895,Suspect(s) committed Molestation at a Shop in Ambegaon during 10:35:50. Officers responded within minutes of the alert.,None,Door break,Offense committed using None. Entry via Door break. Under investigation.,Shop,3,Male,43,Fatal,0.0,4,0,Blood sample collected,Bharati Vidyapeeth PS,Rohan Shelke,Under Investigation,FIR/2025/BHA/00042,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
CR-2025-00043,Drug Offense,Drug Possession,2025-07-25,23:40:13,Friday,July,2025,"315, Ambedkar Apartments, Yerwada, Pune - 411006",Yerwada,Pune,Maharashtra,411006,18.552821,73.876932,A case of Drug Possession was reported at Yerwada at approximately 23:40:13. The suspect targeted a Mall. Local residents alerted police after noticing suspicious activity.,Chain,Lock picking,Offense committed using Chain. Entry via Lock picking. Under investigation.,Mall,4,Female,55,Minor,0.0,3,0,DNA evidence,Yerawada PS,Mohit Sharma,Under Investigation,FIR/2025/YER/00043,0,,Investigation ongoing. No CCTV coverage at location. Witness statements being recorded. Forensic reports awaited.,2026-08-08 22:55:42
