officer_id,officer_name,rank,badge_number,phone_number,email,police_station,assigned_area,solved_cases,active_cases,specialization,duty_status
PO-0067,Vikram Chavan,DCP,MH-PUN-48254,+918546129354,vikram.chavan855@rediffmail.com,Shivajinagar PS,Ganeshkhind,67,14,Organized Crime,Active
PO-0068,Kishore Pandey,Sub-Inspector,MH-PUN-46208,+919464938258,kishore.pandey957@outlook.com,Sinhagad Road PS,Dhayari,5,9,Anti-Terrorism,Off Duty
PO-0069,Indira Kadam,DCP,MH-PUN-55236,+918692616814,indira.kadam782@outlook.com,Faraskhana PS,Somwar Peth,121,10,Narcotics,On Leave
PO-0070,Durgesh Khaire,ACP,MH-PUN-15720,+918899621068,durgesh.khaire485@rediffmail.com,Deccan PS,Senapati Bapat Road,174,25,Homicide,Active
PO-0071,Om Pandey,Senior Inspector,MH-PUN-23154,+919207064620,om.pandey539@rediffmail.com,Wanowrie PS,Wanowrie,189,4,Women & Child Safety,Off Duty
PO-0072,Shaurya Verma,Senior Inspector,MH-PUN-91691,+919797756796,shaurya.verma83@hotmail.com,Talegaon PS,Talegaon,86,20,Economic Offenses,Off Duty
PO-0073,Naresh Shinde,Police Constable,MH-PUN-39817,+916565973314,naresh.shinde101@gmail.com,Hadapsar PS,Handewadi,47,22,Anti-Terrorism,Off Duty
PO-0074,Nikhil Shaikh,Police Constable,MH-PUN-56984,+918562446417,nikhil.shaikh150@yahoo.com,Warje Malwadi PS,Bavdhan,149,21,Homicide,Active
PO-0075,Mohan Khaire,DCP,MH-PUN-86435,+917349310440,mohan.khaire473@hotmail.com,Hadapsar PS,Handewadi,70,21,General Duty,Off Duty
PO-0076,Komal Wagh,Assistant Sub-Inspector,MH-PUN-19681,+919471048258,komal.wagh602@hotmail.com,Wagholi PS,Wagholi,181,8,Economic Offenses,Off Duty
PO-0077,Mayank Qureshi,Sub-Inspector,MH-PUN-41091,+919714097318,mayank.qureshi368@outlook.com,Chinchwad PS,Akurdi,184,9,General Duty,On Leave
PO-0078,Sneha Patil,Inspector,MH-PUN-89482,+919994253959,sneha.patil926@hotmail.com,Dehu Road PS,Dehu Road,160,25,Traffic,Active
PO-0079,Naresh Kale,Sub-Inspector,MH-PUN-92242,+916431714152,naresh.kale808@rediffmail.com,Sinhagad Road PS,Sinhagad Road,153,11,Homicide,Active
PO-0080,Nikhil Sheikh,Assistant Sub-Inspector,MH-PUN-36318,+917944511703,nikhil.sheikh553@hotmail.com,Chaturshrungi PS,Balewadi,133,8,Homicide,Active
PO-0081,Durga Wagh,Sub-Inspector,MH-PUN-71385,+916251136695,durga.wagh773@yahoo.com,Sangvi PS,Sangvi,190,21,Women & Child Safety,On Leave
PO-0082,Advait Shaikh,Inspector,MH-PUN-44663,+916588322781,advait.shaikh378@hotmail.com,Kondhwa PS,Mohammadwadi,102,20,Traffic,Active
PO-0083,Sameer Deshmukh,Senior Inspector,MH-PUN-89964,+917795411453,sameer.deshmukh65@rediffmail.com,Yerawada PS,Yerwada,82,20,Women & Child Safety,Active
PO-0084,Arjun Shelke,Sub-Inspector,MH-PUN-22739,+917677186272,arjun.shelke139@rediffmail.com,Viman Nagar PS,Dhanori,99,21,Organized Crime,Active
PO-0085,Naveen Das,DCP,MH-PUN-90694,+919400368694,naveen.das34@hotmail.com,Koregaon Park PS,Koregaon Park,118,14,Narcotics,Off Duty
PO-0086,Wasim Thorat,Senior Inspector,MH-PUN-17936,+919396225446,wasim.thorat195@gmail.com,Wagholi PS,Wagholi,28,21,Narcotics,Active
PO-0087,Reyansh Shaikh,Head Constable,MH-PUN-26505,+917173669588,reyansh.shaikh850@outlook.com,Sangvi PS,Pimple Saudagar,155,6,Narcotics,Active
PO-0088,Kishore Patil,Assistant Sub-Inspector,MH-PUN-27038,+918957397689,kishore.patil179@gmail.com,Hinjewadi PS,Hinjewadi,38,0,Traffic,Active
PO-0089,Jagdish Ghodke,Assistant Sub-Inspector,MH-PUN-44782,+916236105947,jagdish.ghodke760@rediffmail.com,Chandannagar PS,Wadgaon Sheri,34,23,Cybercrime,Active
PO-0090,Hemant Patel,DCP,MH-PUN-76039,+917760465943,hemant.patel45@outlook.com,Koregaon Park PS,Boat Club Road,122,20,General Duty,Active
PO-0091,Hema Bhandari,Sub-Inspector,MH-PUN-74260,+919178910051,hema.bhandari921@gmail.com,Dattawadi PS,Dattawadi,160,4,Cybercrime,Active
PO-0092,Pranav Iyer,Police Constable,MH-PUN-69469,+919206492059,pranav.iyer813@gmail.com,Vishrantwadi PS,Vishrantwadi,115,14,Narcotics,Active
PO-0093,Aparna Sharma,Senior Inspector,MH-PUN-65936,+918814154134,aparna.sharma262@hotmail.com,Koregaon Park PS,Koregaon Park,180,15,Cybercrime,Active
PO-0094,Advait Gupta,Senior Inspector,MH-PUN-27054,+916729712082,advait.gupta980@outlook.com,Koregaon Park PS,Boat Club Road,176,3,Women & Child Safety,Active
PO-0095,Indira Bose,Police Constable,MH-PUN-88696,+918477577220,indira.bose107@outlook.com,Warje Malwadi PS,Warje,44,21,Economic Offenses,Active
PO-0096,Harsh Qureshi,Senior Inspector,MH-PUN-25058,+918716435189,harsh.qureshi232@rediffmail.com,Yerawada PS,Yerwada,164,19,Organized Crime,Active
PO-0097,Vihaan Sawant,Police Constable,MH-PUN-54541,+918106556040,vihaan.sawant186@yahoo.com,Hinjewadi PS,Maan,22,4,General Duty,Active
PO-0098,Pranav Sharma,Senior Inspector,MH-PUN-30631,+918434618074,pranav.sharma739@hotmail.com,Mundhwa PS,Mundhwa,18,4,Homicide,Active
PO-0099,Vinod More,DCP,MH-PUN-96761,+919621475287,vinod.more622@rediffmail.com,Hinjewadi PS,Maan,74,6,Organized Crime,Active
PO-0100,Priya Wagh,DCP,MH-PUN-79066,+918148766522,priya.wagh226@rediffmail.com,Wanowrie PS,Wanowrie,6,6,Anti-Terrorism,Off Duty
PO-0101,Dinesh Wagh,Sub-Inspector,MH-PUN-11013,+919902100304,dinesh.wagh441@yahoo.com,Bundgarden PS,Bund Garden,102,17,Narcotics,Active
PO-0102,Shaurya Bhandari,ACP,MH-PUN-12456,+919183604337,shaurya.bhandari883@hotmail.com,Swargate PS,Market Yard,151,12,Women & Child Safety,Active
PO-0103,Ananya Ghodke,DCP,MH-PUN-57428,+916568915703,ananya.ghodke865@gmail.com,Saswad PS,Saswad,116,18,Women & Child Safety,Active
PO-0104,Indira Shelke,Head Constable,MH-PUN-53655,+917182011731,indira.shelke523@gmail.com,Sangvi PS,Sangvi,135,6,Traffic,Active
PO-0105,Rajesh Pawar,Police Constable,MH-PUN-35856,+917746820987,rajesh.pawar157@gmail.com,Shivajinagar PS,University Road,165,15,Economic Offenses,Active
PO-0106,Radha Shah,Senior Inspector,MH-PUN-29786,+919173321814,radha.shah481@rediffmail.com,Bundgarden PS,Sassoon Road,82,25,Anti-Terrorism,Active
PO-0107,Hitesh Shinde,DCP,MH-PUN-69233,+916161085229,hitesh.shinde378@hotmail.com,Nigdi PS,Nigdi,170,2,Intelligence,Active
PO-0108,Suman Patel,Inspector,MH-PUN-68947,+917445236735,suman.patel620@rediffmail.com,Yerawada PS,Yerwada,43,1,Economic Offenses,Active
PO-0109,Atharva Pandey,Inspector,MH-PUN-42472,+919571825556,atharva.pandey537@outlook.com,Kothrud PS,Dahanukar Colony,45,11,Traffic,Off Duty
PO-0110,Smita Ansari,Inspector,MH-PUN-92691,+918170772317,smita.ansari338@gmail.com,Sangvi PS,Sangvi,178,12,Anti-Terrorism,Active
PO-0111,Siddharth More,Assistant Sub-Inspector,MH-PUN-55851,+918804433388,siddharth.more716@rediffmail.com,Wanowrie PS,Wanowrie,157,22,Cybercrime,Active
PO-0112,Padma Shaikh,Assistant Sub-Inspector,MH-PUN-97833,+916793663866,padma.shaikh687@rediffmail.com,Sangvi PS,Sangvi,97,0,Traffic,Active
PO-0113,Akash Ansari,Head Constable,MH-PUN-39693,+917266371119,akash.ansari80@hotmail.com,Viman Nagar PS,Viman Nagar,134,24,Organized Crime,Off Duty
PO-0114,Tejas Nikam,ACP,MH-PUN-30218,+917294181873,tejas.nikam852@outlook.com,Sinhagad Road PS,Vadgaon Budruk,189,14,General Duty,Active
PO-0115,Ashish Nair,DCP,MH-PUN-40671,+917432288618,ashish.nair989@rediffmail.com,Sahakarnagar PS,Sahakarnagar,99,21,Intelligence,On Leave
PO-0116,Bhavana Wagh,ACP,MH-PUN-31241,+917960345542,bhavana.wagh620@yahoo.com,Vishrambaug PS,Narayan Peth,18,20,Economic Offenses,Off Duty
PO-0117,Ramesh Qureshi,Police Constable,MH-PUN-20993,+917392907427,ramesh.qureshi461@outlook.com,Chatushrungi PS,Pashan,116,2,Narcotics,Off Duty
PO-0118,Vihaan Sharma,ACP,MH-PUN-75799,+918353164777,vihaan.sharma396@gmail.com,Warje Malwadi PS,Bavdhan,62,0,Traffic,Off Duty
PO-0119,Raj Bhosale,Police Constable,MH-PUN-71925,+917914799481,raj.bhosale723@rediffmail.com,Swargate PS,Market Yard,162,0,Cybercrime,Active
PO-0120,Amit Mehta,ACP,MH-PUN-24573,+918355164255,amit.mehta309@gmail.com,Vishrantwadi PS,Khadki,66,13,Intelligence,Active
PO-0121,Mohit Iyer,Inspector,MH-PUN-92831,+917871531100,mohit.iyer148@hotmail.com,Wagholi PS,Wagholi,5,19,Traffic,Active
PO-0122,Pooja Roy,Senior Inspector,MH-PUN-18870,+916519246503,pooja.roy895@rediffmail.com,Alandi PS,Alandi,167,12,Traffic,Active
PO-0123,Gaurav Shaikh,Senior Inspector,MH-PUN-41604,+916928393291,gaurav.shaikh596@hotmail.com,Lashkar PS,Camp,16,11,Organized Crime,Active
PO-0124,Wasim Kumar,Assistant Sub-Inspector,MH-PUN-27675,+916868847524,wasim.kumar795@rediffmail.com,Chinchwad PS,Chinchwad,80,6,General Duty,Active
PO-0125,Rohan Shelke,ACP,MH-PUN-81176,+919371993587,rohan.shelke38@yahoo.com,Bharati Vidyapeeth PS,Bharati Vidyapeeth,96,24,General Duty,Off Duty
PO-0126,Ganesh Chavan,ACP,MH-PUN-62431,+919515156661,ganesh.chavan348@yahoo.com,Bibvewadi PS,Upper Indira Nagar,182,15,Traffic,Off Duty
PO-0127,Atharva Bose,Sub-Inspector,MH-PUN-66440,+917685698675,atharva.bose301@hotmail.com,Dattawadi PS,Parvati,25,10,Anti-Terrorism,Active
PO-0128,Neha Banerjee,Senior Inspector,MH-PUN-68606,+916880411013,neha.banerjee891@hotmail.com,Faraskhana PS,Shukrawar Peth,116,8,General Duty,Active
PO-0129,Shruti Pandey,Inspector,MH-PUN-28714,+919137365109,shruti.pandey130@gmail.com,Saswad PS,Saswad,170,11,Traffic,Active
PO-0130,Lalit Kadam,Senior Inspector,MH-PUN-58760,+919919355714,lalit.kadam79@outlook.com,Faraskhana PS,Kasba Peth,140,11,Women & Child Safety,Active
PO-0131,Mukesh Chavan,Assistant Sub-Inspector,MH-PUN-75410,+919703091482,mukesh.chavan121@hotmail.com,Chandannagar PS,Chandan Nagar,185,14,Narcotics,On Leave
PO-0132,Zaheer Tiwari,Sub-Inspector,MH-PUN-27790,+916585377142,zaheer.tiwari177@rediffmail.com,Lonavala PS,Lonavala,179,10,Traffic,Active
PO-0133,Vishal Qureshi,Assistant Sub-Inspector,MH-PUN-57381,+917230311939,vishal.qureshi206@yahoo.com,Saswad PS,Saswad,131,0,Traffic,Active
PO-0134,Vikram Mulani,Assistant Sub-Inspector,MH-PUN-90209,+916170596494,vikram.mulani317@rediffmail.com,Yerawada PS,Yerwada,189,15,Organized Crime,Active
PO-0135,Ekta Shah,Assistant Sub-Inspector,MH-PUN-51553,+916583156434,ekta.shah478@outlook.com,Lashkar PS,MG Road,37,24,Organized Crime,Active
PO-0136,Om Gupta,Inspector,MH-PUN-26274,+917426551245,om.gupta169@yahoo.com,Bharati Vidyapeeth PS,Bharati Vidyapeeth,186,7,Traffic,Off Duty
PO-0137,Atharva Kale,Police Constable,MH-PUN-26406,+918759737342,atharva.kale547@gmail.com,Lonavala PS,Lonavala,156,18,Homicide,Active
PO-0138,Chetan Jadhav,Sub-Inspector,MH-PUN-15958,+918799145494,chetan.jadhav216@outlook.com,Chandannagar PS,Chandan Nagar,163,20,General Duty,Active
PO-0139,Rupesh Shelke,Head Constable,MH-PUN-99783,+919419367188,rupesh.shelke465@gmail.com,Chinchwad PS,Pradhikaran,20,5,Economic Offenses,Active
PO-0140,Anjali Nikam,Senior Inspector,MH-PUN-51853,+918528118701,anjali.nikam134@hotmail.com,Shivajinagar PS,Gokhale Nagar,148,3,Traffic,Active
PO-0141,Ganesh Singh,Assistant Sub-Inspector,MH-PUN-22689,+916411612760,ganesh.singh969@rediffmail.com,Hadapsar PS,Uruli Kanchan,68,5,Traffic,Off Duty
PO-0142,Sanjay Khan,DCP,MH-PUN-77466,+919635539154,sanjay.khan901@hotmail.com,Saswad PS,Saswad,10,2,Women & Child Safety,Active
PO-0143,Deepak Patel,Inspector,MH-PUN-16624,+918631388604,deepak.patel612@rediffmail.com,Chakan PS,Chakan,142,0,Cybercrime,Active
PO-0144,Varun Khan,Senior Inspector,MH-PUN-15930,+919154930149,varun.khan584@outlook.com,Kondhwa PS,NIBM,97,17,Anti-Terrorism,Active
PO-0145,Archana Mehta,Sub-Inspector,MH-PUN-26864,+916522950895,archana.mehta383@hotmail.com,Hinjewadi PS,Tathawade,198,4,Narcotics,Active
PO-0146,Sarita Jadhav,Inspector,MH-PUN-27961,+918963251765,sarita.jadhav486@outlook.com,Swargate PS,Market Yard,43,19,Organized Crime,Active
PO-0147,Rahul Bhandari,Senior Inspector,MH-PUN-76494,+919861003571,rahul.bhandari577@hotmail.com,Nigdi PS,Bhosari,9,11,Traffic,Active
PO-0148,Rita Shelke,DCP,MH-PUN-44803,+917874597473,rita.shelke53@outlook.com,Chandannagar PS,Chandan Nagar,48,16,Intelligence,Active
PO-0149,Kavita Pathan,Inspector,MH-PUN-85047,+916304853117,kavita.pathan20@rediffmail.com,Hadapsar PS,Loni Kalbhor,112,4,Women & Child Safety,Active
PO-0150,Sarita Ansari,Inspector,MH-PUN-28098,+917702247585,sarita.ansari333@rediffmail.com,Chinchwad PS,Pradhikaran,101,10,Homicide,Active
PO-0151,Sandip Suryawanshi,DCP,MH-PUN-35200,+917399580835,sandip.suryawanshi572@hotmail.com,Talegaon PS,Talegaon,81,24,Anti-Terrorism,Active
PO-0152,Kiran Verma,Police Constable,MH-PUN-47721,+916715766024,kiran.verma693@outlook.com,Chakan PS,Chakan,106,11,Homicide,Active
PO-0153,Atharva Suryawanshi,Police Constable,MH-PUN-72793,+917316968866,atharva.suryawanshi848@outlook.com,Faraskhana PS,Somwar Peth,148,22,Anti-Terrorism,Active
PO-0154,Mukesh Kulkarni,Head Constable,MH-PUN-93616,+917156361897,mukesh.kulkarni103@rediffmail.com,Vishrantwadi PS,Range Hills,188,15,Cybercrime,Active
PO-0155,Aarav Mehta,ACP,MH-PUN-95575,+919612656440,aarav.mehta667@yahoo.com,Saswad PS,Saswad,87,9,General Duty,Off Duty
PO-0156,Shekhar Shah,Inspector,MH-PUN-32946,+919999371401,shekhar.shah181@gmail.com,Deccan PS,Prabhat Road,106,25,Economic Offenses,Active
PO-0157,Arjun Patil,Sub-Inspector,MH-PUN-53914,+918587853601,arjun.patil657@outlook.com,Nigdi PS,Ravet,131,4,Organized Crime,Active
PO-0158,Arnav Nikam,DCP,MH-PUN-94972,+918871588919,arnav.nikam191@gmail.com,Saswad PS,Saswad,80,18,Narcotics,Active
PO-0159,Ekta Gupta,Senior Inspector,MH-PUN-21368,+919818608005,ekta.gupta98@yahoo.com,Bharati Vidyapeeth PS,Dhankawadi,127,10,Narcotics,Active
PO-0160,Shweta Singh,Senior Inspector,MH-PUN-49576,+916380840558,shweta.singh670@hotmail.com,Hinjewadi PS,Wakad,20,21,Cybercrime,Active
PO-0161,Pankaj Ghosh,Police Constable,MH-PUN-25389,+918494647257,pankaj.ghosh630@yahoo.com,Bharati Vidyapeeth PS,Dhankawadi,39,15,Homicide,Active
PO-0162,Naveen Banerjee,DCP,MH-PUN-80453,+917918040539,naveen.banerjee254@outlook.com,Yerawada PS,Yerawada,139,14,Organized Crime,Active
PO-0163,Chetan Chavan,Head Constable,MH-PUN-85065,+917276670424,chetan.chavan336@outlook.com,Warje Malwadi PS,Bavdhan,34,21,Narcotics,Active
PO-0164,Ira Pandey,Inspector,MH-PUN-69432,+917651095672,ira.pandey426@rediffmail.com,Faraskhana PS,Shukrawar Peth,19,17,Economic Offenses,Active
