criminal_id,first_name,last_name,full_name,nickname,gender,age,dob,blood_group,nationality,religion,marital_status,phone_number,email,aadhaar_number,passport_number,address,area_name,city,state,pincode,latitude,longitude,gang_name,gang_role,education_level,occupation,criminal_category,risk_level,fingerprint_id,dna_profile_id,eye_color,hair_color,height_cm,weight_kg,body_marks,face_image_path,mugshot_image,last_known_location,last_seen_date,arrest_count,conviction_count,prison_history,bail_status,most_common_crime,crime_style,preferred_weapon,active_status,wanted_status,created_at
CRM-IND-00011,Chetan,Reddy,Chetan Reddy,Bullet,Male,19,2006-08-28,AB-,Indian,Hindu,Married,+919745145663,chetan.reddy147@outlook.com,872139799369,Y6749069,"303, Ambedkar Apartments, Padmavati, Pune - 411009",Padmavati,Pune,Maharashtra,411009,18.472688,73.850782,,,Secondary School,Truck Driver,Violent,Low,FP-00011,DNA-00011,Hazel,Dark Brown,165.1,65.4,Tattoo on right forearm,mock_images/faces/CRM-IND-00011_mugshot.jpg,mock_images/faces/CRM-IND-00011_mugshot.jpg,Padmavati,2025-06-28,12,10,"Yerawada Central Jail (1yr for Sexual Offense, 2018-2019); Taloja Central Jail (2yr for Kidnapping, 2020-2022); Taloja Central Jail (4yr for Drug Offense, 2010-2014)",Not Applicable,Cybercrime,Operates during nighttime. Uses Pistol. Targets isolated locations.,Pistol,0,0,2026-08-08 22:55:42
CRM-IND-00012,Usha,Shaikh,Usha Shaikh,Dabang,Female,42,1983-04-28,A-,Indian,Buddhist,Widowed,+919376815988,usha.shaikh194@gmail.com,780911169561,A7291957,"412, Chhatrapati Chowk, Wakad, Pune - 411057",Wakad,Pune,Maharashtra,411057,18.597159,73.760623,,,Secondary School,Electrician,Habitual Offender,Medium,FP-00012,DNA-00012,Black,Bald,161.5,75.3,Scar on right arm,mock_images/faces/CRM-IND-00012_mugshot.jpg,mock_images/faces/CRM-IND-00012_mugshot.jpg,Wakad,2025-11-27,10,9,"Nashik Road Central Jail (2yr for Kidnapping, 2016-2018); Nashik Road Central Jail (5yr for Murder, 2022-2027); Taloja Central Jail (5yr for Sexual Offense, 2015-2020)",Not Applicable,Robbery,Solo operator. Methodical planning. Avoids CCTV areas. Uses disguises.,Sword,1,0,2026-08-08 22:55:42
CRM-IND-00013,Dev,Qureshi,Dev Qureshi,Bhai,Male,60,1965-09-13,O-,Indian,Hindu,Married,+919782767320,dev.qureshi6@gmail.com,874433818727,,"33, Shivaji Society, Sahakarnagar, Pune - 411009",Sahakarnagar,Pune,Maharashtra,411009,18.472631,73.853708,Vishrantwadi Boys,Leader,Diploma,Scrap Dealer,Habitual Offender,Critical,FP-00013,DNA-00013,Black,Bald,186.1,77.3,Scar on forehead,mock_images/faces/CRM-IND-00013_mugshot.jpg,mock_images/faces/CRM-IND-00013_mugshot.jpg,Sahakarnagar,2025-10-17,12,3,"Yerawada Central Jail (4yr for Assault, 2017-2021); Kolhapur Jail (5yr for Assault, 2020-2025); Taloja Central Jail (5yr for Kidnapping, 2010-2015)",Bail Denied,Sexual Offense,Tech-savvy offender. Uses digital tools. Known for Sexual Offense operations.,None,1,1,2026-08-08 22:55:42
CRM-IND-00014,Aarav,Gaikwad,Aarav Gaikwad,Sultan,Male,23,2002-04-17,A+,Indian,Hindu,Single,+918879685499,aarav.gaikwad850@outlook.com,949567036693,,"311, Nehru Nagar, Pune Station, Pune - 411001",Pune Station,Pune,Maharashtra,411001,18.533131,73.873848,,,Diploma,Waiter,Violent,Medium,FP-00014,DNA-00014,Dark Brown,Grey,157.2,69.4,,mock_images/faces/CRM-IND-00014_face_1.jpg,mock_images/faces/CRM-IND-00014_mugshot.jpg,Pune Station,2024-10-28,13,6,"Taloja Central Jail (1yr for Cybercrime, 2015-2016); Kolhapur Jail (5yr for Sexual Offense, 2018-2023); Nashik Road Central Jail (5yr for Assault, 2016-2021)",Not Applicable,Fraud,Opportunistic. Strikes during festivals and crowded events. Blends in.,None,0,0,2026-08-08 22:55:42
CRM-IND-00015,Usha,Chavan,Usha Chavan,Lucky,Female,34,1991-06-17,A+,Indian,Buddhist,Married,+918199868119,usha.chavan409@hotmail.com,262239248807,,"138, Ambedkar Chowk, Sinhagad Road, Pune - 411041",Sinhagad Road,Pune,Maharashtra,411041,18.471828,73.822462,,,Higher Secondary,Painter,Non-violent,Low,FP-00015,DNA-00015,Dark Brown,Brown,171.8,77.8,Birthmark on back,mock_images/faces/CRM-IND-00015_face_1.jpg,mock_images/faces/CRM-IND-00015_mugshot.jpg,Sinhagad Road,2025-09-25,7,3,"Yerawada Central Jail (2yr for Robbery, 2015-2017); Taloja Central Jail (4yr for Theft, 2011-2015); Yerawada Central Jail (5yr for Sexual Offense, 2022-2027)",Not Applicable,Assault,Tech-savvy offender. Uses digital tools. Known for Assault operations.,None,1,0,2026-08-08 22:55:42
CRM-IND-00016,Seema,Salve,Seema Salve,Chain,Female,49,1976-03-02,AB+,Indian,Sikh,Widowed,+916639528648,seema.salve356@rediffmail.com,904838638490,,"162, Krishna Complex, Laxmi Road, Pune - 411002",Laxmi Road,Pune,Maharashtra,411002,18.514892,73.850618,,,Higher Secondary,Scrap Dealer,Habitual Offender,Low,FP-00016,DNA-00016,Black,Brown,164.1,63.9,,mock_images/faces/CRM-IND-00016_mugshot.jpg,mock_images/faces/CRM-IND-00016_mugshot.jpg,Laxmi Road,2024-09-26,13,8,"Nashik Road Central Jail (3yr for Extortion, 2013-2016); Pune District Jail (3yr for Sexual Offense, 2015-2018); Nashik Road Central Jail (2yr for Fraud, 2016-2018)",Not Applicable,Cybercrime,Opportunistic. Strikes during festivals and crowded events. Blends in.,Sword,1,1,2026-08-08 22:55:42
CRM-IND-00017,Durgesh,Ghosh,Durgesh Ghosh,Wrestler,Male,32,1993-07-07,B+,Indian,Hindu,Divorced,+916289630619,durgesh.ghosh432@rediffmail.com,310194709748,,"129, Gandhi Apartments, Loni Kalbhor, Pune - 412201",Loni Kalbhor,Pune,Maharashtra,412201,18.460621,73.960678,,,Diploma,Truck Driver,Non-violent,Low,FP-00017,DNA-00017,Dark Brown,Brown,156.1,72.5,,mock_images/faces/CRM-IND-00017_mugshot.jpg,mock_images/faces/CRM-IND-00017_mugshot.jpg,Loni Kalbhor,2024-12-08,2,2,"Kolhapur Jail (3yr for Kidnapping, 2014-2017); Kolhapur Jail (3yr for Theft, 2018-2021)",Released,Cybercrime,Operates during nighttime. Uses None. Targets isolated locations.,None,1,0,2026-08-08 22:55:42
CRM-IND-00018,Durgesh,Shah,Durgesh Shah,Lucky,Male,59,1966-08-25,AB-,Indian,Hindu,Divorced,+918597950004,durgesh.shah647@yahoo.com,911237456527,,"208, Ambedkar Residency, Dehu Road, Pune - 412101",Dehu Road,Pune,Maharashtra,412101,18.678489,73.753713,,,Secondary School,Security Guard,Non-violent,Medium,FP-00018,DNA-00018,Black,Brown,166.6,54.1,,mock_images/faces/CRM-IND-00018_mugshot.jpg,mock_images/faces/CRM-IND-00018_mugshot.jpg,Dehu Road,2024-10-04,9,2,"Arthur Road Jail (3yr for Extortion, 2017-2020); Nashik Road Central Jail (4yr for Murder, 2018-2022)",Bail Denied,Cybercrime,Operates during nighttime. Uses Chain. Targets isolated locations.,Chain,1,1,2026-08-08 22:55:42
CRM-IND-00019,Imran,Sheikh,Imran Sheikh,Shadow,Male,23,2002-08-18,A+,Indian,Hindu,Divorced,+916211592272,imran.sheikh269@outlook.com,327223817387,,"146, Chhatrapati Chowk, Shukrawar Peth, Pune - 411002",Shukrawar Peth,Pune,Maharashtra,411002,18.514432,73.852764,,,Secondary School,Unemployed,Violent,Critical,FP-00019,DNA-00019,Black,Brown,177.4,59.9,,mock_images/faces/CRM-IND-00019_face_1.jpg,mock_images/faces/CRM-IND-00019_mugshot.jpg,Shukrawar Peth,2024-10-05,3,3,"Pune District Jail (4yr for Kidnapping, 2018-2022); Taloja Central Jail (5yr for Sexual Offense, 2012-2017); Nashik Road Central Jail (5yr for Kidnapping, 2020-2025)",Not Applicable,Robbery,Solo operator. Methodical planning. Avoids CCTV areas. Uses disguises.,Pistol,1,1,2026-08-08 22:55:42
CRM-IND-00020,Kunal,Thorat,Kunal Thorat,,Male,44,1981-03-12,O+,Indian,Sikh,Widowed,+916838487369,kunal.thorat945@rediffmail.com,975788165908,P5914425,"408, Nehru Residency, Boat Club Road, Pune - 411001",Boat Club Road,Pune,Maharashtra,411001,18.527072,73.885736,,,Diploma,Cook,Organized Crime,Medium,FP-00020,DNA-00020,Dark Brown,Dark Brown,166.9,53.1,,mock_images/faces/CRM-IND-00020_mugshot.jpg,mock_images/faces/CRM-IND-00020_mugshot.jpg,Boat Club Road,2024-08-13,3,2,"Nashik Road Central Jail (1yr for Assault, 2014-2015); Arthur Road Jail (5yr for Cybercrime, 2018-2023)",Not Applicable,Theft,Tech-savvy offender. Uses digital tools. Known for Theft operations.,Knife,0,0,2026-08-08 22:55:42
CRM-IND-00021,Pooja,Bhosale,Pooja Bhosale,Hawk,Female,36,1989-08-07,O-,Indian,Hindu,Married,+916674420474,pooja.bhosale23@yahoo.com,996526755622,Z8355410,"47, Nehru Main Road, Bibvewadi, Pune - 411037",Bibvewadi,Pune,Maharashtra,411037,18.477507,73.862936,,,Post Graduate,Electrician,White Collar,Medium,FP-00021,DNA-00021,Black,Grey,169.2,67.1,Burn mark on left hand,mock_images/faces/CRM-IND-00021_face_1.jpg,mock_images/faces/CRM-IND-00021_mugshot.jpg,Bibvewadi,2024-05-29,11,7,"Nashik Road Central Jail (3yr for Robbery, 2010-2013); Pune District Jail (4yr for Assault, 2018-2022); Yerawada Central Jail (4yr for Robbery, 2014-2018)",Bail Denied,Extortion,Opportunistic. Strikes during festivals and crowded events. Blends in.,Axe,0,0,2026-08-08 22:55:42
CRM-IND-00022,Arjun,Yadav,Arjun Yadav,Bullet,Male,47,1978-11-10,O-,Indian,Hindu,Single,+916371992483,arjun.yadav493@hotmail.com,362769051853,,"121, Shivaji Chowk, Ganeshkhind, Pune - 411007",Ganeshkhind,Pune,Maharashtra,411007,18.536329,73.828245,,,Secondary School,Farmer,Habitual Offender,Low,FP-00022,DNA-00022,Hazel,Dark Brown,172.9,70.2,,mock_images/faces/CRM-IND-00022_mugshot.jpg,mock_images/faces/CRM-IND-00022_mugshot.jpg,Ganeshkhind,2025-12-05,13,1,"Kolhapur Jail (2yr for Robbery, 2019-2021)",Bail Denied,Kidnapping,Works with accomplices. Uses stolen vehicles. Specializes in Kidnapping.,None,1,0,2026-08-08 22:55:42
CRM-IND-00023,Omkar,Kulkarni,Omkar Kulkarni,Kala,Male,21,2004-04-11,O-,Indian,Sikh,Married,+916840076530,omkar.kulkarni387@hotmail.com,793432075107,,"225, Chhatrapati Apartments, Pimple Saudagar, Pune - 411027",Pimple Saudagar,Pune,Maharashtra,411027,18.59459,73.782427,Wagh Mandali,Associate,Secondary School,Cook,White Collar,Medium,FP-00023,DNA-00023,Hazel,Brown,179.1,58.0,,mock_images/faces/CRM-IND-00023_face_1.jpg,mock_images/faces/CRM-IND-00023_mugshot.jpg,Pimple Saudagar,2024-06-13,11,2,"Pune District Jail (5yr for Sexual Offense, 2011-2016); Taloja Central Jail (3yr for Fraud, 2014-2017)",Released,Kidnapping,Operates during nighttime. Uses None. Targets isolated locations.,None,0,0,2026-08-08 22:55:42
CRM-IND-00024,Aditya,Nair,Aditya Nair,Shadow,Male,41,1984-09-27,AB+,Indian,Muslim,Widowed,+919922200725,aditya.nair565@yahoo.com,702256386285,,"50, Shivaji Colony, Sassoon Road, Pune - 411001",Sassoon Road,Pune,Maharashtra,411001,18.524232,73.865667,,,Secondary School,Factory Worker,Violent,Low,FP-00024,DNA-00024,Brown,Grey,170.9,72.8,,mock_images/faces/CRM-IND-00024_face_1.jpg,mock_images/faces/CRM-IND-00024_mugshot.jpg,Sassoon Road,2025-11-04,10,3,"Taloja Central Jail (5yr for Extortion, 2017-2022); Kolhapur Jail (1yr for Assault, 2014-2015); Yerawada Central Jail (1yr for Assault, 2019-2020)",Released,Fraud,Operates during nighttime. Uses None. Targets isolated locations.,None,1,0,2026-08-08 22:55:42
CRM-IND-00025,Naveen,Pathan,Naveen Pathan,,Male,41,1984-02-27,O+,Indian,Hindu,Married,+916208689641,naveen.pathan743@yahoo.com,635573134104,Y5173551,"486, Phule Residency, Lavale, Pune - 411042",Lavale,Pune,Maharashtra,411042,18.506789,73.712492,Cobra Unit,Lieutenant,Post Graduate,Student,Organized Crime,Critical,FP-00025,DNA-00025,Hazel,Black,173.1,76.6,,mock_images/faces/CRM-IND-00025_mugshot.jpg,mock_images/faces/CRM-IND-00025_mugshot.jpg,Lavale,2025-05-31,12,0,No prior convictions,Not Applicable,Extortion,Works with accomplices. Uses stolen vehicles. Specializes in Extortion.,Cricket Bat,1,0,2026-08-08 22:55:42
CRM-IND-00026,Komal,Ghodke,Komal Ghodke,Prince,Female,53,1972-06-20,B-,Indian,Muslim,Divorced,+918486556226,komal.ghodke985@rediffmail.com,566575051003,,"9, Ambedkar Nagar, Pashan, Pune - 411021",Pashan,Pune,Maharashtra,411021,18.538176,73.797934,,,Graduate,Unemployed,White Collar,Low,FP-00026,DNA-00026,Dark Brown,Brown,188.4,73.0,Scar on right arm,mock_images/faces/CRM-IND-00026_face_1.jpg,mock_images/faces/CRM-IND-00026_mugshot.jpg,Pashan,2025-07-20,14,5,"Taloja Central Jail (5yr for Extortion, 2018-2023); Yerawada Central Jail (1yr for Sexual Offense, 2012-2013); Pune District Jail (2yr for Cybercrime, 2015-2017)",Not Applicable,Drug Offense,Tech-savvy offender. Uses digital tools. Known for Drug Offense operations.,None,1,0,2026-08-08 22:55:42
CRM-IND-00027,Durgesh,Bhandari,Durgesh Bhandari,,Male,54,1971-12-23,A-,Indian,Buddhist,Single,+919184264458,durgesh.bhandari799@gmail.com,955164786700,,"477, Laxmi Society, Swargate, Pune - 411042",Swargate,Pune,Maharashtra,411042,18.505178,73.866198,Silver Hawks,Leader,Diploma,Daily Wage Worker,White Collar,High,FP-00027,DNA-00027,Brown,Brown,164.5,68.3,,mock_images/faces/CRM-IND-00027_face_1.jpg,mock_images/faces/CRM-IND-00027_mugshot.jpg,Swargate,2025-12-15,12,1,"Yerawada Central Jail (2yr for Drug Offense, 2013-2015)",Released,Fraud,Tech-savvy offender. Uses digital tools. Known for Fraud operations.,None,1,1,2026-08-08 22:55:42
CRM-IND-00028,Manish,Kadam,Manish Kadam,Scorpion,Male,26,1999-05-03,AB+,Indian,Jain,Married,+917616386600,manish.kadam573@yahoo.com,599674764212,,"125, Nehru Complex, Hinjewadi, Pune - 411057",Hinjewadi,Pune,Maharashtra,411057,18.587016,73.741668,,,Post Graduate,Student,Habitual Offender,Low,FP-00028,DNA-00028,Brown,Grey,161.8,75.1,Knife scar on abdomen,mock_images/faces/CRM-IND-00028_mugshot.jpg,mock_images/faces/CRM-IND-00028_mugshot.jpg,Hinjewadi,2024-12-18,2,1,"Kolhapur Jail (1yr for Murder, 2019-2020)",Not Applicable,Extortion,Tech-savvy offender. Uses digital tools. Known for Extortion operations.,None,0,0,2026-08-08 22:55:42
CRM-IND-00029,Ashish,Jadhav,Ashish Jadhav,Langda,Male,32,1993-01-08,B+,Indian,Buddhist,Single,+918844956951,ashish.jadhav824@gmail.com,449983738719,G4554677,"268, Sai Chowk, Somwar Peth, Pune - 411011",Somwar Peth,Pune,Maharashtra,411011,18.520504,73.858488,Vishrantwadi Boys,Member,No Formal Education,Scrap Dealer,Habitual Offender,Critical,FP-00029,DNA-00029,Brown,Brown,173.9,78.6,Scar on right arm,mock_images/faces/CRM-IND-00029_mugshot.jpg,mock_images/faces/CRM-IND-00029_mugshot.jpg,Somwar Peth,2024-02-24,11,5,"Yerawada Central Jail (1yr for Drug Offense, 2017-2018); Arthur Road Jail (3yr for Fraud, 2020-2023); Kolhapur Jail (1yr for Drug Offense, 2011-2012)",Bail Denied,Murder,Opportunistic. Strikes during festivals and crowded events. Blends in.,None,1,0,2026-08-08 22:55:42
CRM-IND-00030,Vandana,Iyer,Vandana Iyer,,Female,52,1973-01-02,B-,Indian,Buddhist,Married,+919522409833,vandana.iyer763@yahoo.com,215066816765,,"257, Nehru Nagar, Katraj, Pune - 411046",Katraj,Pune,Maharashtra,411046,18.455459,73.85092,,,Graduate,Scrap Dealer,Violent,High,FP-00030,DNA-00030,Black,Dark Brown,182.4,90.9,Tattoo on chest,mock_images/faces/CRM-IND-00030_mugshot.jpg,mock_images/faces/CRM-IND-00030_mugshot.jpg,Katraj,2024-03-30,3,1,"Taloja Central Jail (4yr for Extortion, 2021-2025)",Bail Denied,Kidnapping,Opportunistic. Strikes during festivals and crowded events. Blends in.,Axe,1,1,2026-08-08 22:55:42
CRM-IND-00031,Madhuri,Iyer,Madhuri Iyer,Dabang,Female,39,1986-11-26,B-,Indian,Hindu,Married,+917561778017,madhuri.iyer931@yahoo.com,737535896201,U2986209,"430, Patel Galli, Range Hills, Pune - 411007",Range Hills,Pune,Maharashtra,411007,18.565796,73.837271,,,Post Graduate,Electrician,Organized Crime,Medium,FP-00031,DNA-00031,Hazel,Brown,173.7,76.3,Tattoo on chest,mock_images/faces/CRM-IND-00031_mugshot.jpg,mock_images/faces/CRM-IND-00031_mugshot.jpg,Range Hills,2024-07-08,9,2,"Taloja Central Jail (5yr for Cybercrime, 2010-2015); Taloja Central Jail (5yr for Assault, 2019-2024)",Bail Denied,Assault,Works with accomplices. Uses stolen vehicles. Specializes in Assault.,None,0,0,2026-08-08 22:55:42
CRM-IND-00032,Nishant,Bhosale,Nishant Bhosale,Rocket,Male,50,1975-03-06,B-,Indian,Muslim,Single,+919920917342,nishant.bhosale993@gmail.com,958154217767,Y4402982,"91, Shivaji Chowk, Pisoli, Pune - 411060",Pisoli,Pune,Maharashtra,411060,18.442271,73.914856,,,ITI,Security Guard,Organized Crime,Low,FP-00032,DNA-00032,Hazel,Grey,172.2,53.8,,mock_images/faces/CRM-IND-00032_mugshot.jpg,mock_images/faces/CRM-IND-00032_mugshot.jpg,Pisoli,2024-11-16,10,7,"Arthur Road Jail (5yr for Extortion, 2016-2021); Taloja Central Jail (5yr for Theft, 2019-2024); Nashik Road Central Jail (1yr for Sexual Offense, 2018-2019)",On Bail,Fraud,Works with accomplices. Uses stolen vehicles. Specializes in Fraud.,Iron Rod,1,0,2026-08-08 22:55:42
CRM-IND-00033,Bharat,Khaire,Bharat Khaire,Boss,Male,51,1974-05-25,O+,Indian,Sikh,Married,+919416130770,bharat.khaire628@gmail.com,765294703330,,"370, Shivaji Apartments, Mayur Colony, Pune - 411038",Mayur Colony,Pune,Maharashtra,411038,18.501007,73.816798,,,Secondary School,Scrap Dealer,Organized Crime,Medium,FP-00033,DNA-00033,Hazel,Black,175.8,84.5,Tattoo on neck,mock_images/faces/CRM-IND-00033_mugshot.jpg,mock_images/faces/CRM-IND-00033_mugshot.jpg,Mayur Colony,2025-04-10,11,0,No prior convictions,On Bail,Assault,Solo operator. Methodical planning. Avoids CCTV areas. Uses disguises.,Cricket Bat,1,0,2026-08-08 22:55:42
